id;title;citations;year;authors;journal;abstract;keywords
30;Enabling digital twins in the maritime sector through the lens of AI and industry 4.0;1;2023;Dimitrios Kaklis, Iraklis Varlamis, George Giannakopoulos, Takis J. Varelas, Constantine D. Spyropoulos ;International Journal of Information Management Data Insights;"Sustainability and environmental compliance in ship operations is a prominent research topic as the waterborne sector is obliged to adopt ”green” mitigation strategies towards a low emissions operational blueprint. Fuel-Oil-Consumption (FOC) estimation, constitutes one of the key components in maritime transport information systems for efficiency and environmental compliance. This paper deals with FOC estimation in a more novel way than methods proposed in literature, by utilizing a reduced-sized feature set, which allows predicting vessel’s Main-Engine rotational speed (
). Furthermore, this work aims to place the deployment of such models in the broader context of a cutting-edge information system, to improve efficiency and regulatory adherence. Specifically, we integrate B-Splines in the context of two Deep Learning architectures and compare their performance against state-of-the-art regression techniques. Finally, we estimate FOC by combining velocity measurements and the predicted 
 with vessel-specific characteristics and illustrate the performance of our estimators against actual FOC data.";Fuel oil consumption estimation, Digital twinSplines, Quadratic estimators, Delaunay triangulation, Time-series forecasting, Unsupervised clustering, Ensemble learning, Deep learning, Least squares optimization
31;On application of digital twin in ship operation and performance;0;2022;Munkeby, Simon Krogstad;NTNU Open;Shipping is a growing industry and is today responsible for over 90% of world trade. Tight schedules while in port and long travelling distances are common aspects of transportation, and hence efficiency is very important to maintain maximum profit. One of the most important factors to maintain profitability is to reduce operational downtime. Methods for predicting these events can be developed to prevent unwanted repairs and shutdowns. Condition monitoring is a strategy which involves monitoring the condition of physical components located on e.g. a vessel. If irregularities in vibration data or temperature are discovered, condition-based maintenance can be performed on the relevant components before the failure happens. This reduces the maintenance cost as well as increases operational up-time. To predict future failures, three different modelling methods are typically used. Data-driven modelling uses datasets and machine learning technology to develop a model by either using classification or regression algorithms. Physics-based modelling is a mathematical representation of an asset which uses common physical characteristics to simulate its behaviour. An approach combining these two condition-based methods is called hybrid modelling. A model gathering real-time data for monitoring the condition of a physical asset is called a Digital Twin. A Digital Twin is a digital representation of an object. This technology is gradually getting more attention within several industries. In this thesis, a data-driven model is developed to predict fuel oil consumption per day for marine vessels, which directly correlates to the power output, a relevant parameter in the context of machinery conditions. Several regression models have been trained based on data from four of Gearbulk's vessels. Data from a fifth vessel has been used as test data to validate the accuracy of the model. A ranking of the ten best algorithms showed a low RMSE for both the training and test dataset. The results showed a clear correlation between fuel oil consumption per day and the predictor parameters. The accuracy was higher on the test dataset which indicates a potential overfitted model. This can however be solved by adjusting the data handling and training method. The use of condition monitoring systems and digital twins are increasing in popularity within the maritime industry, but the technology is not yet flawless. It is important to understand how the technology works before it is implemented to maximise its potential.;
32;A digital twin framework for real-time ship routing considering decarbonization regulatory compliance;3;2023;Qikun Wei, Yan Liu, You Dong, Tianyun Li, Wei Li ;Ocean Engineering;International Marine Organization is promoting stricter carbon emission reduction targets, and the influx of environmental regulations presents compliance risks for maritime sector. Stakeholders need to take decarbonization performance indicators into account in ship routing to maintain regulatory compliance. To meet decarbonization goals, a decision support method related to environmental regulatory compliance is necessary for voyage optimization. To this end, this paper presents a digital twin-enabled framework for real-time decarbonization regulatory compliance prognosis in ship routing. The proposed framework tracks real-time carbon intensity and identifies opportunities for reducing operational risks associated with decarbonization goals. The digital twin approach leverage real-time environmental and operational data for improved estimation of vessel-specific regulatory compliance probability along the voyage. An improved dynamic programming algorithm is used for ship routing. The presented framework is versatile in dealing with various decarbonization regulations to provide routing decision support. An illustrated case of a container ship sailing across the South China sea is presented to demonstrate the applicability of the framework.;Digital twin, Decarbonization regulations, Ship routing, Regulatory compliance
33;Reshaping Digital Twin in Technology Developments for Enhancing Marine Systems Design;1;2022;"Jose Jorge Garcia Agis; Per Olaf Brett; Stein Ove Erikstad; Henrique Gaspar";SNAME 14th International Marine Design Conference;"The digital twin technology platform has not yet achieved the expected acceptance and wider implementation in the maritime industry. So far, most of the focus of the digital twin application discussions have centred around what to learn from big data in ship operation, and to a lesser extent, has anybody extended this discussion to include the benefits such new technology can contribute to the enhancement of the upstream ship concept and basic design activities, as well as detailed engineering. This paper particularly pays attention to this latter, partly forgotten, application area. There could be many reasons behind such a reluctance to take on new technology and utilize it to its full potential. It is hypothesized and argued by this article that the development has focused on applications that are too complex, too expensive and reflect, to a little extent, real-life needs. Lack of effective data transfer and transaction interphases among relevant stakeholders is another important factor creating these inefficiencies.  This paper document how and why such inefficiencies in novel digitization technology adoption and adaptation exist and hamper the progress of achieving noticeable benefits of such implementations and how such development hurdles can be eliminated.

Real-life user cases and several contributions in the professional literature suggest that more effective implementation of digital twin technology requires further discussions and investigations relating to three important aspects: i) a common and accepted definition of what is a digital twin; ii) an agreed-upon scalable and systemic approach to what is the solution space for a digital twin solution and iii) which systemic method to be used for digital twin development. Digital-twin technology must combine effective ship in operation and ship design feedback and feed forwarding, including their inherent people involvement and market behaviour.  This article reviews the status of digital twin technology in the maritime domain and proposes a common definition of the digital twin. The latter part of the article proposes a systemic perspective for effective digital twin development and a method for a goal-oriented digital twin development in the novel ship design domain as well for ships in operations. Real-life user-case examples are elaborated upon to support our suggestions for improvement.

The paper summarizes that, in its current form, the success rate of the digital twin technology implementation is so far, limited.  Thus, the short- and long-term benefits to be achieved from digital twin applications in relation to vessel operations and their designs are also limited. This paper advises ways for improvement of the present situation.";information management, digital twin, integration, research and development, application, dtt, marine transportation, artificial intelligence, stakeholder, digitalization
34;Designing Ship Digital Services;21;2019;Stein Ove Erikstad;COMPIT´19 – 18th Conference on Computer and IT Applications in the Maritime Industries,;"In this paper we present a system design driven approach to developing digital ship services. We follow
a Needs-Function-Form path towards balancing service value against installation and running cost.
We outline a model for quantifying service value and cost as a function of both data input characteristics as well as computational analysis capabilities. The presented framework is not tested in a real
case, but we provide an illustrative example for an onboard service for monitoring motions and slamming vibration on passenger comfort. We define alternative levels of quality and value of this service
by using what we have called a “Digital Service Maturity Index”. This index will be influenced by both
the ship sensor configuration, the availability of external operational context data streams, as well as
the characteristics of the digital twin model providing operational insight. ";
35;Acquisition method of evaluation stress for the digital twin model of ship monitoring structure;6;2022;Yuchao Liu, Huilong Ren;Applied Ocean Research;There is a difference between the monitoring range of the sensor and the range required by the strength evaluation of ship hull structure, where the specific meaning of the range here is the length. At the same time, there may also be a difference in the stress form between the stress monitoring data obtained from the sensor and the structural stress data used for the strength evaluation of ship hull structure. As a result, one cannot apply the stress monitoring data directly to the strength evaluation of the digital twin model for the ship monitoring structure. To solve the above problem, this paper proposed a local stress correlation method, which can be used to obtain the structural stress data suitable for the specific strength evaluation of the digital twin model for the ship monitoring structure from stress monitoring data. In particular, a 21,000TEU ultra-large container ship was chosen as the targeted ship in this paper, and attention was paid to its yield stress state. Related studies have verified the feasibility of the local stress correlation method proposed in this paper. And related studies also indicate that the local stress correlation method can accurately obtain the evaluation stress for the digital twin model of the ship monitoring structure. And thus, the misjudgment of the real stress state for ship monitoring structure caused by the direct application of the stress monitoring data can be effectively avoided.;
36;Using Digital Twin in a Shipbuilding Project;11;2022;Zoran KunkeraTihomir Opetuk,Neven Hadžić, Nataša Tošanović;Applied sciences;Three-dimensional modelling software tools enable the creation of a digital replica of the product—“Digital Twin”—a representative of “Virtual Reality” as one of the prominent trends of Industry 4.0. The development of the Digital Twin can start simultaneously with the development of the product, primarily for the purpose of selecting optimal technical and technological solutions prior to and during physical construction, and, ultimately, with the intention of managing the entire product life cycle. The Digital Twin, as one of the key technological achievements in the implementation of the business system transformation from traditional to smart, should also be recognized as the cornerstone of the “Shipyard 4.0” model, i.e., its “Cyber-Physical Space.” This paper is based on statistical and empirical data of the observed shipyard with the aim to represent the significance of the Digital Twin ship in preserving and improving the competitiveness of the shipbuilding industry. Namely, with the emphasis this article places on the contribution of “advanced outfitting” in achieving savings in the shipbuilding process as well as its role in attaining high standards of environmental protection and workplace safety, the importance of its further improvement is an obvious conclusion—with Digital Twin being one of the recognized tools for this purpose.;"Digital Twin; Virtual Reality; Shipyard 4.0; Cyber-Physical Space; advanced outfitting"
37;Digital Twin Development - Condition Monitoring and Simulation Comparison for the ReVolt Autonomous Model Ship;25;2018;Danielsen-Haces, Alexander;NTNU open;"Digital Twin technology is becoming an integral part of simulation, testing and operation of semi and fully autonomous vehicles. This technology shows great potential for decreasing testing time, improving cost efficiency and decreasing environmental impact of autonomous vehicles. This thesis includes development towards a digital twin system for DNV GL's concept test ship, ReVolt.
Several practical elements of the digital twin system have been implemented. The digital twin system now includes encoders which measure the speed of the stern motors, a 4G capable boat and a more user friendly visualization in Unity. Field tests were conducted with the objective of collecting crucial data from ReVolt. This data is crucial to test and refine the various digital twin use cases.
The first use case explored is condition monitoring. Several condition monitoring algorithms are researched and two algorithms have been developed and implemented. These produced results that can inform if one of the motors experiences a fault.
The second use case explored was system identification. Data collected from the ReVolt Model during the test day has also been compared with the ReVolt Simulator. Comparisons were made both with respect to the thruster dynamics and the overall boat dynamics. System identification theory is discussed as this can be used to improve the models in the ReVolt simulation.";
38;A Standards-Based Approach to Modelling of Digital Twin Ship Data - Assessment of current standards and methods for future standardisation;2;2022;Fonseca, Ícaro Aragao;NTNU open;"The popularisation of sensors, internet of things, and data analysis tools is bringing opportunities for several industries to improve their products and processes. One of the concepts making use of such opportunities is the digital twin, a comprehensive simulation of an engineering system that receives updated data from that system to mirror and predict its behaviour. In the ship domain, development of comprehensive digital twins finds obstacles in the lack of interoperability among digital tools and their formats. This thesis investigates use of standards to model digital twin ships with the aim of enabling data exchanges among systems, i.e., a standards-based approach.
The work begins by investigating challenges to digital twin standardisation from the perspective of previous initiatives in the ship industry, comparisons with other sectors, and emerging trends. A few drivers are identified to guide future standardisation attempts: pragmatism in scope, support to heterogeneous systems, openness, and intelligibility. Following from these drivers, the study identifies existing standards covering the domains of ship visualisation, sensor logs, and taxonomies for ship data. They are applied to develop a web-based digital twin of an experiment in a wave basin, taking advantage of the broad support offered to web standards. The case study delimits standardisation gaps in the domains of ship models, with its accompanying metadata, and simulation of ship behaviour in operation. Both of them are taken as motivation for following research stages. The first topic is addressed by extending the open source Vessel.js library, originally developed for conceptual ship design, to handle detailed vessel models suitable for digital twins. This is done with a flexible framework which allows mapping of digital twin data to existing ship taxonomies during both design and operation. The framework is applied to a case study with a research vessel, demonstrating advantages and uncovering obstacles to scaling. The second topic is partially handled through development of functionalities for simulation and visualisation of wave motion response in Vessel.js. The library is used to develop several responsive, real-time applications combining simpler models executed on the browser and results from complex analyses, executed with external software.
The work contributed to digital twin ship interoperability in two manners: by demonstrating the current state of standardisation and introducing novel methods to inform future initiatives. Given the digital twin’s ambitious scope, the latter leaves open topics for further research, such as effective simulation-based decision-support during ship operations, accounting for interaction with sensor streams in real-time.";
39;Data Driven Digital Twin Applications Towards Green Ship Operations;4;2022;Mahmood Taghavi, Lokukaluge Prasad Perera;ASME 2022 41st International Conference on Ocean, Offshore and Arctic Engineering;Due to the growing rate of energy consumption and its consequent emissions, the International Maritime Organization (IMO) has devised strict rules for an extensive reduction in Greenhouse Emissions (GHG), which forces the shipping industry to search for more energy-efficient solutions. Therefore, alongside with the Energy Efficiency Design Index (EEDI), improving the energy efficiency of existing ships under the Energy Efficiency Existing Ship Index (EEXI) is of considerable importance. This paper address this issue by proposing a digital twin framework supported by big data analytics for ship performance monitoring. The proposed framework is developed by the respective data sets from a selected vessel. For this purpose, a cluster analysis is implemented using the Gaussian Mixture Models (GMMs) with the Expectation Maximization (EM) algorithm. By this approach, the most frequent operating regions of the engine is detected, the shapes of these frequent operating regions are captured, and the relationships between different navigation and performance parameters of the engine are determined. That will make the basis for a digital twin application in shipping. The main objective of this research study is to develop a digital twin of a marine engine by considering the engine operational conditions that can be utilized toward green ship operations. The contribution of this paper and the outcomes can facilitate the shipping industry to meet the IMO requirements enforced by its regulations.;digital twins, machine learning, big data analytics, energy efficiency, maritime engineering, ship performance monitoring
40;"An open web platform aimed at ship
design, simulation and digital twin";4;2021;Felipe Ferrari de Oliveira;NTNU open;"This project identifies the web platforms as one of the main tools for data management, gaining special importance in the recent explosion of information that were led
by the improvement of data handle in respect to the communication, acquiring and
storage factors. Even those some solutions started to rise, the web platforms available
in the industrial sector, including the maritime, are still scarcity. In that sense, this
project proposes one open source solution for ship simulation and analysis that could
be evaluated as alternative.
The proposed web platform architecture uses a set of open source tools that together provide an end-to-end framework for building dynamic web applications. This
approach of architecture enhance the modularity aspect of the platform, turning easy
the adaptation, innovation and expansion of the internal modules.
One concern that was handled by the web platform was the management of complex
data from ship design and operation. The idea is to use analysis and simulations in
those two different phases to validate or improve the models. The web platform will
adopt a set of modules to present the information contextualized for each type of
the project, adapting itself to show only the applicable information depending on the
phase evaluated (design or operation).
On the project phase, the platform runs inside the Preliminary Ship Design (PSD)
theory that runs more into a holistic instead of sequential methodology. In the design phase the ship can be displayed in the initial and detailing mode. For the initial design
the display shows a building block perspective, assessing the main components and
its spaces with an initial definition for the location. In the detailing design a more
definitive form is presented, with its components divided according to the Vessel Information System (VIS) taxonomy with a tree filter that helps to identify the main
components. For the operation phase, the platform permits to stream the location of
the ship through the time, using a three dimensional visualization, the value can be
contrasted with the Maneuvering modeling developed during this project.
An essential aspect for an open platform is the ability to allow collaboration between
several partners. This report shows three practical ways related to each tier in the platform architecture for collaboration, showing its features and presenting study cases
the collaboration can be used to enhance ship simulation and analysis. This report
also uses the creation of the Maneuvering model as background to show how to expand the platform through the back end collaboration.
Finally, the report evaluate critically the project, raising important aspects regarding
the limitations of the platform, suggesting improvements and future tasks that will
improve the platform user experience.";
41;Digital Twin-Driven Approach for Process Management and Traceability towards Ship Industry;9;2022;Kan Wang,Qianqian Hu,Jialin Liu;processes;The digital twin (DT) approach has risen in popularity for applications in many industrial process managements. By applying the “Shipyard 4.0” digital transformation trend, the ship industry is developing techniques able to reduce risks by improving operation process management. This study proposes a combination of a DT approach and practical experiment as part of a five-tier framework for DT-driven process management in the ship industry. This study focuses on the characteristic scenarios and crucial parameters within the ship engine system and shipping cargo container in operation procedures. DT-based models and platforms are established in this study based on the basic modeling of Maya and scene rendering of Unity 3D. To address the fusion issue of multi-source heterogeneous data in the ship operation process, a Bayesian neural network (BNN) method is introduced into DT’s virtual model layer and data support layer. By integrating an improved BNN-based algorithm into DT-based models, the collected data can be extracted and aggregated accordingly. In the ship engine room, the operating temperature is selected as a critical parameter, with the best mean percentage deviation (MPD) between DT-driven predictions and test value of 3.18%. During the shipping cargo container process, the results indicate that DT-based models have acceptable performances under different conditions, with optimal MPDs of 5.22%.;" digital twin; process management; BNN; DT-driven prediction; ship industry"
42;Comparison of digital twin development in manufacturing and maritime domains;44;2019;Nicole Taylor, Carlo Human, Karel Kruger, Anriëtte Bekker & Anton Basson ;International Workshop on Service Orientation in Holonic and Multi-Agent Manufacturing;The concept of the digital twin is developing as a key enabler for the Industry 4.0 vision. The digital twin – a virtual representation of a real-world entity to facilitate integration with digital systems – has sparked research and application in different domains. A cross-domain comparison is presented through the review of the development of digital twins in the manufacturing and maritime domains. The comparison focuses on the needs for digital twins, conceptual and implementation frameworks, platforms, and real-world implementations in these two domains.;"Digital twin
Digital transformation, Manufacturing, Maritime systems"
43;Voyage performance evaluation based on a digital twin model;8;2020;M Liu, Q Zhou, X Wang, C Yu and M Kang;2020 IOP Conf. Ser.: Mater. Sci. Eng.;Using digital twins in voyage performance evaluation is becoming critical for ocean vessels to reduce GHG emissions. A novel GBM approach is proposed in this paper to establish a digital twin model for voyage performance prediction. The weather hindcast data are introduced to enrich noon reports (NR) and automatic identification system (AIS) datasets, which are split into training and validation sets to develop GBM. The NR and AIS datasets collected from a 57000DWT bulk carrier are used to demonstrate the fidelity and capability of the proposed GBM. The voyage performance prediction from the GBM shows better accuracy than those from pure WBM or pure BBMs. An arrival time forecast and a weather routing showcase are also presented to demonstrate the application effects of GBM. The proposed GBM provides a satisfying prediction of ship speed and fuel consumption without mandatory sensor-collected data, thus applicable for a varity of vessels. In those cases where more sensors are available onboard, the proposed approach can incorporate sensor data to improve the model accuracy further.;
44;Electric ship digital twin : framework for cyber-physical system security;2;2019;Gilligan, Brian Kenneth.;PhD Thesis. Massachusetts Institute of Technology.;This thesis presents a dynamic model that can be used for a digital twin of an electric ship. The model is an end-to-end simulation of a ship from prime mover to maneuvering, seakeeping, and propeller ventilation in random waves representing the behavior of a physical ship. There is a trend towards increasingly networked sensors and actuators to enable condition monitoring, ensure efficient operation, and allow for autonomy. However, a cyberattack on a networked control system presents not just the possibility of information theft but of physical system damage and loss of control. Thus, a detection scheme is proposed for cyber-physical systems using a joint unscented Kalman filter. It is employed to detect cyberattacks in the simulation model of an electric ship including sensor attacks and controller attacks on a gas turbine, synchronous generator, and automatic heading control. Finally, a system theoretic framework is presented for optimal sensor placement to minimize cyber vulnerability.;Mechanical Engineering.
45;Enabling Maritime Digitalization by Extreme-Scale Analytics, AI and Digital Twins: The Vesselai Architecture;2;2022;Spiros Mouzakitis, Christos Kontzinos, John Tsapelas, Ioanna Kanellou, Georgios Kormpakis, Panagiotis Kapsalis & Dimitris Askounis ;IntelliSys 2022: Intelligent Systems and Applications ;The beginning of this decade finds artificial intelligence, high performance computing (HPC), and big data analytics in the forefront of digital transformation that is projected to heavily impact various industries and domains. Among those, the maritime industry has the potential to overcome many shortcomings and challenges through innovative technical solutions that combine the aforementioned innovative technologies. Naval vessels and shipping in general, generate extremely large amounts of data, the potential of which remains largely untapped due to the limitations of current systems. Simultaneously, digital twins can be used for conducting complex simulations of vessels and their systems to improve efficiency, automate, and evaluate current and future performance. However, they require large amounts of real-time and historical data to simulate efficiently, as well as AI models and high-performance computing that will help the entire system run smoothly and be scalable to higher volumes of data and computation requirements. Integrating these technologies and tools in a unified system poses various challenges. Under this context, the current publication presents the high-level conceptual architecture of VesselAI, an EU-funded project that aims to develop, validate and demonstrate a novel holistic framework based on a combination of the state-of-the-art HPC, Big Data and AI technologies, capable of performing extreme-scale and distributed analytics for fuelling the next-generation digital twins in maritime applications and beyond, including vessel motion and behaviour modelling, analysis and prediction, ship energy system design and optimisation, unmanned vessels, route optimisation and fleet intelligence.;"Maritime, Artificial Intelligence
Data analytics
Digital twins, High-performance computing, High-level architecture"
46;Digital Twin of a Maneuvering Ship: Real-Time Estimation of Drift And Resistance Coefficients Based on Ship Motion and Rudder and Propeller Commands ;1;2022;Humberto A. Uehara Sasaki, Pedro Cardozo de Mello, Eduardo Aoun Tannuri;ASME 2022 41st International Conference on Ocean, Offshore and Arctic Engineering;"The present work tackles the modeling problem concerning the initial steps of a Digital Twin (DT) application in a maneuvering ship. To envision a real implementation, further problems need to be solved, such as architecture design, communication network, digitalization purpose, etc., subjects which will not be aborded here. Instead, we concentrated on developing a well-rounded general system model that will enable the future employment of DT technology. Some examples can include performance analysis due to degradation of the hull, rudder, or thruster; decision support for maintenance scheduling; or even distance monitoring.

The paper focuses on real-time estimation of the main vessel hydrodynamic coefficients — namely the drift and resistance coefficients — through ship motion measurements (obtained from GNSS and Gyrocompass) and the input commands to the propeller and rudder.

Compared to the previous (OMAE2021-62899), we included proper propeller and rudder models; replaced the Extended Kalman Filter (EKF) with the Unscented Kalman Filter (UKF) and estimated the coefficients directly instead of its linear approximation.

Some maneuvers were tested within a simulated environment called pyDyna — a ship maneuvering simulator implemented on python based on the mathematical model adopted in the TPN-USP Ship Maneuvering Simulation Center. Data from motion sensors were mimicked by inducing a Gaussian white noise in the data retrieved from the simulator in real-time intending to better represent a real-world scenario.

Preliminary results show good adherence and low computational, possibly presenting as a convenient preliminary parameter assessment until more precise and time-consuming methods such as CFD are evoked.";drift and resistance coefficients, UKF, digital twin
47;On Risk of Digital Twin Implementation in Marine Industry: Learning from Aviation Industry;32;2019;Michaela Ibrion, Nicola Paltrinieri and Amir R. Nejad;Journal of Physics: Conference Series;This paper presents some aspects of the risk and challenges associated with digital twin implementation in the marine industry by learning from the aviation industry where the digital twin is more widely employed. The digital twin applications in aviation and marine industries are presented and the main steps of developing a digital twin are discussed. The three main steps of sensors (measurements), model, and data analysis are identified and used in the study. The lessons from two recent accidents in the aviation industry (Boeing 737 MAX crashes in Indonesia and Ethiopia in 2018 and 2019) are studied in details and discussed. It was found that the sensor reliability, model failure and wrong decisions as the output of the data processing are among the risks associated with digital twin implementations. In particular, from the case study accidents, it was found that the digital twin may not be able to represent all the possible scenarios which a system may experience in its life time. The digital twin presents many advantages, however the implementation of the digital twin is associated with risk and high uncertainties, even in the industries like the aviation industry, where the digital twin is well established and at a higher advanced level than in the marine industry.;
48;Towards a digital twin approach for vessel-specific fatigue damage monitoring and prognosis;32;2022;Eric VanDerHorn, Zhenghua Wang, Sankaran Mahadevan;Reliability Engineering & System Safety;This paper proposes a Digital Twin approach for the monitoring and prognosis of vessel-specific fatigue damage. During design, fatigue damage estimates are based on conservative assumptions regarding operational conditions and structural response. However, variability in the vessel-specific operations from those assumed during design needs to be considered when supporting engineering-based decisions for maintenance deferrals and service life extensions. The use of Digital Twins is proposed to provide this necessary vessel-specific decision support. Digital Twins typically rely on sensor-based data to update their models, however structural health sensors for fatigue monitoring can be prohibitively expensive to install and maintain in ship structures, so the proposed method addresses this by instead combining publicly available vessel-specific operational data (global vessel position data coupled with metocean hindcast data) with computational models to monitor the environmental exposure and track the vessel fatigue accumulation over time. This approach is demonstrated through a case study of a containership that has been in operation for seven years. The results of proposed approach are compared against the fatigue estimate obtained using the design reference wave conditions. The Digital Twin is then used to forecast the remaining fatigue life, in order to support inspection and maintenance scheduling and operational decision-making.;
49;Data Driven Digital Twins for the Maritime Domain;0;;Alexandros Troupiotis-Kapeliaris, Nicolas Zygouras, Manolis Kaliorakis, Spiros Mouzakitis, Giannis Tsapelas, Alexander Artikis, Eva Chondrodima, Yannis Theodoridis, Dimitris Zissis;IOS Press Ebooks;Digital twins are computational models that replicate the structure, behaviour and overall characteristics of a physical asset in the digital world. In the maritime domain, conventional approaches have relied on mathematical modeling (e.g., linearised equations of motion) and heavy computations for estimating ship resistance and propulsion, seakeeping and maneuverability and overall hull form optimization, treating the vessel as a point body. For instance, the ability to predict a vessel’s future track in confined or congested waters presents a significant challenge due to the fact that as time passes, these models often fall out of sync with their digital counterparts due to changes that happen to the ship (e.g., foulding affecting maneuverability). In addition to this, mostly due to computational resources required, in real world deployments models are simplified, thus reducing their overall prediction accuracy. In our work, we implement AI-enabled coupled abstractions of the asset-twin system, which rely on machine learning methods for constant learning of the evolving over time behavior of a vessel based on historical trip data and information related to vessel’s structure and loading capacity. The evaluation results indicate that the inclusion of vessel and journey specific information is beneficial for the predictions.;
50;Review of digital twin of ships and offshore structures;6;2021;B. Q. Chen, P. M. Videiro, C. Guedes Soares;"Chen, B. Q., P. M. Videiro, and C. Guedes Soares. ""Review of digital twin of ships and offshore structures."" Developments in Maritime Technology and Engineering; Guedes Soares, C.,";"The digitalization of large structures as ships and offshore platforms supports the application of
sophisticated virtual product models, which are referred to as digital twins, throughout all stages of construction and operation life. Particularly, more realistic virtual models of the structural systems are essential to
bridge the gap between design and construction and to mirror the real and virtual worlds. In this paper, the vision of the digital twin and its evolution is reviewed, aiming at providing a coverage of the current applications and the challenges of the digital twins of the physical ships and offshore structures in design, construction and service life and enabling technologies along with recommendations and reflections.";
51;Digital Twins for Warship Systems: Technologies, Applications and Challenges;1;2022;Sara Ferreno-Gonzalez, Alicia Munin-Doce, Marcos Míguez González, Lucía Santiago Caamaño, Vicente Diaz-Casas;IoT for Defense and National Security;Thanks to the development of new technologies such as the Internet of things, it is possible to consider an in-depth knowledge of the operation of a ship, through its replication in the digital world, both hull, systems and equipment on board. It is a technological challenge due to the complexity of warships. It is necessary to define architectures (storage in the cloud), type of deployment (up to what extend the ship should be sensorized), use or not of open-source platforms, scalability, etc. The physical part connected to the virtual part, with the first sending real data to the second part, allows reliable predictions of the behavior of equipment and systems on board. The digital twin seeks to virtually reproduce the functions of the ship systems, as well as all the conditions involved in the ship's mission (route to follow, maintenance times, modes of navigation and sea conditions).;Thanks to the development of new technologies such as the Internet of things, it is possible to consider an in-depth knowledge of the operation of a ship, through its replication in the digital world, both hull, systems and equipment on board. It is a technological challenge due to the complexity of warships. It is necessary to define architectures (storage in the cloud), type of deployment (up to what extend the ship should be sensorized), use or not of open-source platforms, scalability, etc. The physical part connected to the virtual part, with the first sending real data to the second part, allows reliable predictions of the behavior of equipment and systems on board. The digital twin seeks to virtually reproduce the functions of the ship systems, as well as all the conditions involved in the ship's mission (route to follow, maintenance times, modes of navigation and sea conditions).
52;Digital Twin of a Maneuvering Ship: Real-Time Estimation of Derivatives and Resistance Coefficient Based on Motion Sensor ;3;2021;Humberto A. Uehara Sasaki, André S. Sandes Ianagui, Pedro Cardozo de Mello, Eduardo Aoun Tannuri;ASME 2021 40th International Conference on Ocean, Offshore and Arctic Engineering;"Retrieving certain hydrodynamics coefficients from a marine craft during a maneuver can be useful for various reasons, such as the validation of project specifications or the rapid verification of structural changes that could impact the vessel movement. Intended to estimate some of these parameters, the present work proposes a method purely based on traditional Extended Kalman Filter (EKF) focused for limited drift angles.

Albeit not posing as a replacement to conventional estimations, such as from Computer Fluid Dynamics (CFD) — which solve equations in order of millions — and experimental tests — with its time-consuming preparation setups and post-analyses — the method can possibly present itself as a convenient and quicky technique to estimate the hydrodynamics coefficients in real time, as each iteration resorts only into a few dozen of equations.

Preliminary results in the simulated environment called pyDyna — a python version of the Numerical Offshore Tank ship maneuvering simulator — indicate this procedure is faster along with an acceptable margin of accuracy, possibly pointing as a feature for future digital twin applications.";hydrodynamic derivatives, EKF, digital twin
53;"A CASE STUDY OF A DIGITAL TWIN FOR DESIGNING INTERMODAL
RAILWAYS OPERATIONS FOR A MARITIME TERMINAL ";2;2019;Morra, E., Damiani, L., Revetria, R., Rozhok, A.;17th International Industrial Simulation Conference;"The design of an intermodal transportation system,
composed by road-rail-ship paths, usually passes through
the capacity evaluation of the different stages, affected by
means of transport features. Synchronicity of different stages
and features of the utilities are a key factor in such
infrastructure design. The simulation of a project,
traditionally based on a static calculation of timetables for
transportation connection guarantee, can be done actually
with a Digital Twin approach for a whole dynamic
simulation of the process. The paper deals with a real case
study in which a full intermodal system for minerals
transportation, located in a desert, has been fully simulated,
with interesting results analysis the for project validation.
The intermodal system in object includes a mine-to-terminal
truck transportation, a terminal-to-seaport monorail train
transportation and a highly automated system for bulk
material conveying from seaport to ships. ";"digital twin, intermodal transportation system, monorail,
timetables generator software, minerals transportation, roadrail-ship transport, simulation modelling. "
54;Condition Monitoring of Ship Propulsion Systems: State-of-the-Art, Development Trend and Role of Digital Twin;7;2021;Amir R. Nejad, Etienne Purcell, Mostafa Valavi, Roman Hudak, Benjamin Lehmann, Francisco Gutiérrez Guzmán, Felix Behrendt, Angelo Mario Bõhm, Franz von Bock und Polach, Brendon M. Nickerson, Anriëtte Bekker, Withold Drazyk;ASME 2021 40th International Conference on Ocean, Offshore and Arctic Engineering;This paper describes the current implementations and development trends of condition monitoring as it pertains to ship propulsion systems. In terms of total incidents in the shipping industry in the last five years, failures relating to the propulsion system represent the majority. Condition monitoring offers effective early detection of failure which translates to increased reliability and decreased maintenance costs. Current industrial practices are often limited to performance monitoring rather than condition monitoring. Special focus is afforded to how condition monitoring is implemented on board ships, which regulatory codes are relevant and the summary of state-of-the-art research in marine machinery. Moreover, operation and monitoring in extreme environmental conditions, such as the Arctic and Antarctic with ice impact on the propulsion has been discussed. The new developments, in particular, digital twin approaches in health and condition monitoring have been highlighted, considering its pros and cons and potential challenges.;Condition monitoring, Propulsion systems, Ships, Failure, Antarctic region, Arctic region, Ice, Machinery, Maintenance, Propulsion, Reliability
